OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
34,Bocce Court,Cobbs Creek Park,Cobbs Creek Park,6600 VINE ST,Land,Athletic,Bocce Courts,100070.05967225,2.29730165,19151, , , ,12Nov2013,Vanessa Miller,PPR,,Bocce Court
35,Fox Chase School Playground,Fox Chase School Playground,Fox Chase School Playground,700 Rhawn Street,Land,Recreation Site, ,91814.09348848,2.10776999,19111, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
36,Wissahickon Environmental Education Center,Wissahickon Environmental Education Center,Wissahickon Valley Park,300 W NORTHWESTERN AVE,Land,Environmental Education Center, ,75383.19327696,1.73056691,19128,Tree House, , ,12Nov2013,Vanessa Miller,PPR,,Wissahickon Environmental Education Center
37,Ford Road North Playground,Ford Road North Playground,West Fairmount Park,3905 FORD RD,Land,Recreation Site, ,59510.13061863,1.36617008,19131, , , ,12Nov2013,Vanessa Miller,PPR,,Ford Road Playground
38,82nd & Lyons Park,82nd & Lyons Park,82nd & Lyons Park,8200 LYONS AVE,Land,Park- Mini, ,39709.94010105,0.91161843,19153,Pepper School Playground, , ,12Nov2013,Vanessa Miller,PPR,,82nd & Lyons Park
39,Verree & Susquehanna Playground,Verree & Susquehanna Playground,Pennypack Creek Park,8543 VERREE RD,Land,Recreation Site, ,36456.26009821,0.83692392,19111, , , ,12Nov2013,Vanessa Miller,PPR,,Verree & Susquehanna 
40,11th & Venango Play Lot,11th & Venango Play Lot,11th & Venango Play Lot,3600 N 11TH ST,Land,Youth & Tot\Play Areas, ,35556.59514108,0.81627037,19140, , , ,12Nov2013,Vanessa Miller,PPR,,11th & Venango Play Lot
41,Collazo Playground,Collazo Playground,Collazo Playground,130-60 W WESTMORELAND ST,Land,Recreation Site, ,88311.74473525,2.0273668,19140, , , ,26Jun2014,Nora Dougherty,PPR,,Collazo 
42,Frankford & Solly Playground,Frankford & Solly Playground,Pennypack Creek Park,8300 FRANKFORD AVE,Land,Recreation Site, ,30553.7593145,0.7014206,19136, , , ,12Nov2013,Vanessa Miller,PPR,,Frankford & Solly 
43,Belmont School Playground,Belmont School Playground,Belmont School Playground,4030-60 BROWN ST,Land,Recreation Site, ,29359.05184281,0.67399379,19104, , ,Owned by the Charter School,12Nov2013,Vanessa Miller,PPR,,Belmont School 
44,26th & Pennsylvania Playground,26th & Pennsylvania Playground,East Fairmount Park,2700 PENNSYLVANIA AVE,Land,Recreation Site, ,18829.43909072,0.43226617,19130, , , ,12Nov2013,Vanessa Miller,PPR,,26th & Pennsylvania 
45,60th & Baltimore Park,60th & Baltimore Park,60th & Baltimore Park,5961 BALTIMORE AVE,Land,Park- Mini, ,11875.55133602,0.27262624,19143, , , ,12Nov2013,Vanessa Miller,PPR,,60th & Baltimore Park
46,Dauphin Street Play Lot,Dauphin Street Play Lot,Dauphin Street Play Lot,2324-30 N 05TH ST,Land,Youth & Tot\Play Areas, ,9092.67174268,0.20873986,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Dauphin Street
47,10th & Lemon Playground,10th & Lemon Playground,10th & Lemon Playground,1015-21 MOUNT VERNON ST,Land,Recreation Site, ,8155.91599137,0.18723482,19123, , , ,12Nov2013,Vanessa Miller,PPR,,10th & Lemon 
48,47th & Grays Ferry Park,47th & Grays Ferry Park,47th & Grays Ferry Park,4700 PASCHALL AVE,Land,Park- Mini, ,7388.58129733,0.16961917,19143, , , ,12Nov2013,Vanessa Miller,PPR,,47th & Graysferry Park
49,Hartranft Pool,Hartranft Pool,Hartranft Pool,800 W CUMBERLAND ST,Land,Pool, ,5639.74642806,0.12947128,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Hartranft Pool
50,Butler & Percy Play Lot,Butler & Percy Play Lot,Butler & Percy Play Lot,913-921 BUTLER ST,Land,Youth & Tot\Play Areas, ,4760.31703856,0.10928228,19140, , , ,12Nov2013,Vanessa Miller,PPR,,Butler & Percy Play Lot
51,Horton Street Play Lot,Horton Street Play Lot,Horton Street Play Lot,225-35 N HORTON ST,Land,Youth & Tot\Play Areas, ,4324.80360958,0.09928423,19139, , , ,12Nov2013,Vanessa Miller,PPR,,Horton Street Play Lot
52,45th & Sansom Tot Lot,45th & Sansom Tot Lot,45th & Sansom Tot Lot,122-24 S 45TH ST,Land,Youth & Tot\Play Areas, ,3563.14205951,0.08179881,19139, , ,Operated or Owned by University City District,12Nov2013,Vanessa Miller,PPR,,45th & Sansom Tot Lot
53,Community Park,Community Park,Community Park,854-56 N LAWRENCE ST,Land,Park- Mini, ,3560.4412319,0.08173681,19123, , , ,12Nov2013,Vanessa Miller,PPR,,Community Park
54,71st & Dicks Triangle,71st & Dicks Triangle,71st & Dicks Triangle,2700 S 71ST ST,Land,Park- Mini, ,2965.24275671,0.06807288,19153, , , ,12Nov2013,Vanessa Miller,PPR,,71st & Dicks Triangle
55,Webb Street Play Lot,Webb Street Play Lot,Webb Street Play Lot,2536-38 WEBB ST,Land,Youth & Tot\Play Areas, ,2954.57382788,0.06782795,19125, , , ,12Nov2013,Vanessa Miller,PPR,,Webb Street Play Lot
56,Awbury Park & Recreation Center,Awbury Park & Recreation Center,Awbury Park & Recreation Center,6101 ARDLEIGH ST,Land,Recreation Center, ,442656.95382188,10.16204602,19138, , , ,12Nov2013,Vanessa Miller,PPR,,Awbury
57,Hunting Park Recreation Center,Hunting Park,Hunting Park,1101 W HUNTING PARK AVE,Land,Recreation Center, ,233747.6847473,5.36612993,19140, ,1854, ,12Nov2013,Vanessa Miller,PPR,,Hunting Park
58,Martin Luther King Older Adult Center,Martin Luther King Recreation Center,Martin Luther King Recreation Center,2101 W CECIL B MOORE AVE,Land,Older Adult Center, ,15555.43596795,0.3571051,19121, , , ,12Nov2013,Vanessa Miller,PPR,,King Older Adult Center
59,Pennypack on the Delaware Fields,Pennypack on the Delaware Fields,Pennypack on the Delaware,8201 State Road,Land,Athletic,Multi-Use Sports Field,1230497.87622647,28.24845726,19136, , , ,12Nov2013,Vanessa Miller,PPR,,
60,Belmont Plateau,Belmont Plateau,West Fairmount Park,1800 BELMONT MANSION DR,Land,Multi-Use Area,Regional\Watershed,2147069.34970022,49.29012714,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,Belmont Plateau
61,Memorial Area,Memorial Area,West Fairmount Park,4200 S CONCOURSE DR,Land,Museum,Historic Building,2024356.9434855,46.47302665,19131, ,1866, ,12Nov2013,Vanessa Miller,Lessee/Tenants,Please Touch Museum,
62,Edgely Fields,Edgely Fields,East Fairmount Park,2100 RESERVOIR DR,Land,Athletic,Multi-Use Sports Field,1274569.47159845,29.26020592,19121, ,1844, ,12Nov2013,Vanessa Miller,PPR,,Edgely Fields
63,Dairy Fields,Dairy Fields,East Fairmount Park,3700 MOUNT PLEASANT DR,Land,Athletic,Multi-Use Sports Field,660098.88545843,15.15384586,19121, ,1844, ,12Nov2013,Vanessa Miller,PPR,,Dairy Fields
64,Pachella Fields,Pachella Fields,Wissahickon Valley Park,6899 HENRY AVE,Land,Athletic,Multi-Use Sports Field,495347.30557533,11.37165489,19128, ,1867, ,12Nov2013,Vanessa Miller,PPR,,Pachella Fields
65,Belmont & Edgely Cricket Fields,Belmont & Edgely Cricket Fields,West Fairmount Park,4105 EDGELY AVE,Land,Athletic,Multi-Use Sports Field,420290.95474134,9.64859127,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,Belmont & Edgely Cricket Fields
66,Daisy Fields,Daisy Fields,Wissahickon Valley Park,5000 HERMIT LN,Land,Athletic,Baseball Field,410896.11956152,9.43291467,19128, ,1867, ,12Nov2013,Vanessa Miller,PPR,,Daisy Fields
67,Robin Hood Dell East,Robin Hood Dell East,East Fairmount Park,2499 STRAWBERRY MANSION BRIDGE DR,Land,Multi-Use Area,Performance Venue,378510.81001701,8.68944729,19132, ,1844, ,12Nov2013,Vanessa Miller,PPR,,Robin Hood Dell East
68,Sweet Briar Area,Sweet Briar Area,West Fairmount Park,3700 SWEET BRIAR LN,Land,Athletic,Baseball Field,376460.26012363,8.64237296,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,
69,Ohio House Fields,Ohio House,West Fairmount Park,4700 STATES DR,Land,Athletic,Baseball Field,255828.96927123,5.8730485,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,
70,Chamounix North Softball Field,Chamounix,West Fairmount Park,3299 CHAMOUNIX DR,Land,Athletic,Baseball Field,216169.89265326,4.96259773,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,
71,Chamounix South Fields,Chamounix,West Fairmount Park,3701 CHAMOUNIX DR,Land,Athletic,Multi-Use Sports Field,202203.70209182,4.64197683,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,
72,Boyce Field,Wissahickon Valley Park,Wissahickon Valley Park,5901 HENRY AVE,Land,Athletic,Baseball Field,141971.16299574,3.25922247,19128, ,1867, ,12Nov2013,Vanessa Miller,PPR,,Boyce Field
73,Arrow Field,Arrow Field,Wissahickon Valley Park,640 W WALNUT LN,Land,Athletic,Multi-Use Sports Field,93006.41512477,2.13514204,19128, ,1867, ,12Nov2013,Vanessa Miller,PPR,,Arrow Field
74,Pennypack Environmental Education Center,Pennypack Environmental Education Center,Pennypack Creek Park,8600 VERREE RD,Land,Environmental Education Center, ,73791.5165325,1.6940269,19115, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,FP Staff,Pennypack Environmental Center
75,Cobbs Creek & Karakung Golf Course,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7900 LANSDOWNE AVE,Land,Golf,Golf Course,13262997.2869585,304.47773965,19151, ,1904-1928, ,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",Cobbs Creek Park
76,Pennypack on the Delaware,Pennypack on the Delaware,Pennypack on the Delaware,8201 STATE RD,Land,Park- Metropolitan, ,9408964.15523717,216.00095939,19136, ,1977, ,12Nov2013,Vanessa Miller,PPR,,Pennypack on the Delaware
77,Franklin D. Rooselvelt Golf Course,Franklin D. Rooselvelt Golf Course,Franklin D. Rooselvelt Golf Course,1954 PATTISON AVE,Land,Golf,Golf Course,6295004.89374649,144.51400537,19145, ,1922-1924, ,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",FDR Golf Course
78,Fox Chase Farm,Fox Chase Farm,Fox Chase Farm,8800 PINE RD,Land,Farm, ,5154031.49331889,118.3207555,19111,Butler Exhibit Farm,1975-1979, ,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
79,Morris Park,Morris Park,Cobbs Creek Park,6600 SHERWOOD RD,Land,Park- Regional/Watershed, ,5024849.84060917,115.35514096,19151, ,1911-1929, ,12Nov2013,Vanessa Miller,PPR,,Morris Park
80,Juniata Golf Course,Juniata Golf Course,Tacony Creek Park,1391 E CAYUGA ST,Land,Golf,Golf Course,4969228.95867992,114.0782561,19124, ,1915, ,12Nov2013,Vanessa Miller,Lessee/Tenants,Juniata Golf Foundation,Juniata Golf Course
81,Walnut Lane Golf Course,Walnut Lane Golf Course,Wissahickon Valley Park,700 WALNUT LA,Land,Golf,Golf Course,3912073.12665866,89.80920053,19128, ,1870, ,12Nov2013,Vanessa Miller,Lessee/Tenants,Impact Services Corp,Walnut Lane Golf Course
82,Walton Run,Walton Run,Walton Run,11000 ACADEMY RD,Land,Park- Watershed\Conservation, ,3921032.23098126,90.01487409,19154, ,1970, ,12Nov2013,Vanessa Miller,PPR,,Walton Run
83,John Byrne Golf Course,John Byrne Golf Course,John Byrne Golf Course,9550 LEON ST,Land,Golf,Golf Course,3700902.66783057,84.96137446,19114, ,1972, ,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",John Byrne Golf Course
84,Fluehr Park,Fluehr Park,Fluehr Park,4800 GRANT AVE,Land,Park- Community, ,2679002.9520644,61.50169119,19114, ,1976, ,12Nov2013,Vanessa Miller,PPR,,Fluehr Park
85,Philadelphia Zoological Gardens,Philadelphia Zoological Gardens,West Fairmount Park,3400 W GIRARD AVE,Land,Zoo Habitat, ,2435280.68727812,55.90657549,19104, ,1866, ,12Nov2013,Vanessa Miller,Lessee/Tenants,Zoological Society of Philadelphia,Philadelphia Zoo
86,Manatawna Farm,Manatawna Farm,Manatawna Farm,130 SPRING LA,Land,Farm, ,2364686.52403488,54.28595002,19128, ,1983, ,12Nov2013,Vanessa Miller,Lessee/Tenants,School District of Philadelphia,Manatawna Farm
87,Burholme Park,Burholme Park,Burholme Park,7370 CENTRAL AVE,Land,Park- Community, ,2293929.28958677,52.66158093,19111, ,1915, ,12Nov2013,Vanessa Miller,PPR,,Burholme Park
88,Wister's Woods Park,Wister's Woods Park,Wister's Woods Park,432-60 E WISTER ST,Land,Park- Neighborhood, ,2246284.45057887,51.56780156,19141, ,1911, ,12Nov2013,Vanessa Miller,PPR,,Wister's Woods Park
89,Horticulture Center,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Land,Gardens, ,2243978.76188164,51.51487001,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,Horticulture Center
90,Wooden Bridge Run,Wooden Bridge Run,Wooden Bridge Run,2855 WILLITS RD,Land,Park- Regional/Watershed, ,2237099.42226499,49.09586334,19114, ,1950, ,12Nov2013,Vanessa Miller,PPR,,Wooden Bridge Run
91,Bartram's Garden,Bartram's Garden,Bartram's Garden,5400 LINDBERGH BLV,Land,Park- Community, ,1996002.28725638,45.82209071,19143, ,1891, ,12Nov2013,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,Bartram's Gardens
92,Wissinoming Playground,Wissinoming Playground,Wissinoming Playground,5801 FRANKFORD AVE,Land,Recreation Site, ,1847887.92698773,42.42183927,19135, , , ,12Nov2013,Vanessa Miller,PPR,,Wissinoming 
93,Fernhill Park,Fernhill Park,Fernhill Park,4600 MORRIS ST,Land,Park- Community, ,1708103.66843603,39.21282142,19144, ,1915-1917, ,12Nov2013,Vanessa Miller,PPR,,Fernhill Park
94,Roxborough Reservoir,Roxborough Reservoir,Roxborough Reservoir,601 PORT ROYAL AVE,Land,Reservoir, ,1624136.22892608,37.28518654,19128, ,2010,A friends group helps manage,12Nov2013,Vanessa Miller,PPR,,Roxborough Reservoir
95,Manayunk Canal,Manayunk Canal,Manayunk Canal,4500 MAIN ST,Land,Park- Linear\Parkway, ,1469669.60899512,33.76585277,19127, ,1979, ,12Nov2013,Vanessa Miller,PPR,,Manayunk Canal
96,Carroll Park Cobbs Creek,Carroll Park Cobbs Creek,Cobbs Creek Park,7800 CITY AVE,Land,Park- Regional/Watershed, ,1366581.41121946,31.37251785,19151, , , ,12Nov2013,Vanessa Miller,PPR,,Cobbs Creek Park
97,Fish Hatchery,Fish Hatchery,Fish Hatchery,9201 N DELAWARE AVE,Land,Park- Community, ,1363331.04650774,31.29789945,19136,Pleasant Hill Park, , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Water Department,Fish Hatchery
98,Holme Crispin Park,Holme Crispin Park,Holme Crispin Park,3065 HOLME AVE,Land,Park- Regional/Watershed, ,1211825.85901949,27.81980501,19136, ,1925, ,12Nov2013,Vanessa Miller,PPR,,Holme Crispin Park
99,Philadelphia Museum of Art,Philadelphia Museum of Art,East Fairmount Park,2600 BENJ FRANKLIN PKY,Land,Museum, ,1086262.67969672,24.93725952,19130, ,1917-1928, ,12Nov2013,Vanessa Miller,Lessee/Tenants,Philadelphia Museum of Art,Philadelphia Museum of Art
100,Disston Park,Disston Park,Disston Park,6501-6951 KEYSTONE ST,Land,Park- Neighborhood, ,1023657.95063944,23.50004695,19135, , , ,12Nov2013,Vanessa Miller,PPR,,Disston Park
101,Poquessing Creek Park 1,Poquessing Creek Park,Poquessing Creek Park,1217 STEVENS RD,Land,Park- Watershed\Conservation, ,1027659.37891118,23.59190747,19116, ,1960-1970, ,12Nov2013,Vanessa Miller,PPR,,Poquessing Creek Park
102,Junod Playground,Junod Playground,Junod Playground,3102 MECHANICSVILLE RD,Land,Recreation Site, ,1024352.24840612,23.5159859,19154, , , ,08Aug2014,Nora Dougherty,PPR,,Junod 
103,Palmer Playground,Palmer Playground,Palmer Playground,11701 THORNTON RD,Land,Recreation Site, ,3230333.44786416,74.15854842,19154, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Far NE Athletic Assn,Palmer 
104,29th & Chalmers Park,29th & Chalmers Park,29th & Chalmers Park,3001 W LEHIGH AVE,Land,Park- Community, ,999199.00446558,22.93854457,19132, , , ,12Nov2013,Vanessa Miller,PPR,,29th & Chalmers Park
105,Mander Playground,Mander Playground,East Fairmount Park,2102 N 33RD ST,Land,Recreation Site, ,971224.4921021,22.29633556,19132, ,1844, ,12Nov2013,Vanessa Miller,PPR,,Mander Pool
106,Gorgas Park,Gorgas Park,Gorgas Park,6300 RIDGE AVE,Land,Park- Community, ,917980.85147809,21.07402487,19128, , ,Fields managed by School District,12Nov2013,Vanessa Miller,PPR,,Gorgas Park
107,Marconi Plaza,Marconi Plaza,Marconi Plaza,2700 S BROAD ST,Land,Park- Square\Plaza, ,820584.24342008,18.83809747,19148, ,1923, ,12Nov2013,Vanessa Miller,PPR,,Marconi Plaza
108,Fort Mifflin,Fort Mifflin,Fort Mifflin,4800 FORT MIFFLIN RD,Land,Historic House, ,1876546.14246379,43.079744,19153, , , ,26Jun2014,Nora Dougherty,Lessee/Tenants,Not Listed,Fort Mifflin
109,James Finnegan Playground,James Finnegan Playground,James Finnegan Playground,6801 GROVERS AVE,Land,Recreation Site, ,767275.51557507,17.61429258,19142,Paschall Playground, , ,12Nov2013,Vanessa Miller,PPR,,Finnegan 
110,Lawncrest Recreation Center,Lawncrest Recreation Center,Lawncrest Recreation Center,6000 RISING SUN AVE,Land,Recreation Center, ,756942.54153072,17.37707919,19111, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Lawncrest Athletic Assn,Lawncrest
111,Pastorius Park,Pastorius Park,Pastorius Park,200 W HARTWELL LN,Land,Park- Community, ,698795.81708584,16.04220873,19118, ,1915, ,12Nov2013,Vanessa Miller,PPR,,Pastorius Park
112,Vogt Recreation Center,Vogt Recreation Center,Vogt Recreation Center,4131 UNRUH AVE,Land,Recreation Center, ,694645.63943187,15.94693338,19135, , , ,12Nov2013,Vanessa Miller,PPR,,Vogt
113,American Legion,American Legion,American Legion,6201 TORRESDALE AVE,Land,Recreation Site, ,686705.36674767,15.76464907,19135, , , ,12Nov2013,Vanessa Miller,PPR,,American Legion
114,Jacobs Playground,Jacobs Playground,Jacobs Playground,9050 TORRESDALE AVE,Land,Recreation Site, ,644970.69268746,14.80654896,19136, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Torresdale Boys Club,Jacobs 
115,Fox Chase Playground,Fox Chase Playground,Fox Chase Playground,601 BORBECK AVE,Land,Recreation Center, ,637436.35777763,14.63358374,19111, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
116,Torresdale Playground,Torresdale Playground,Torresdale Playground,9550 FRANKFORD AVE,Land,Recreation Site, ,613933.23972099,14.09402423,19114, , , ,12Nov2013,Vanessa Miller,PPR,,Torresdale 
117,Burholme Driving Range,Burholme Driving Range,Burholme Driving Range,401 W COTTMAN AVE,Land,Golf,Golf Driving Range,596805.36346133,13.70082072,19111, ,1915, ,12Nov2013,Vanessa Miller,Lessee/Tenants,"Burholme Golf, Inc.",Burholme Park
118,Benjamin Franklin Parkway medians,Benjamin Franklin Parkway,Benjamin Franklin Parkway,BENJ FRANKLIN PKY,Land,Park- Linear\Parkway, ,604274.99430896,13.87230054,19130, ,1917-1928, ,12Apr2015,Nora Dougherty,PPR,,Benjamin Franklin Parkway
